,Unnamed: 0.1,Unnamed: 0,id,answer,score_me,score_other,score_avg,bert_distance,bert_similarity_score,normalized_bert_score,elmo_similarity_score,normalized_elmo_score,gpt_similarity_score,normalized_gpt_score,gpt2_similarity_score,normalized_gpt2_score,roberta_similarity_score,normalized_roberta_score,xlnet_similarity_score,normalized_xlnet_score,universal_similarity_score,normalized_universal_score
0,0,0,1.1,High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.,4,3,3.5,0.027617693,0.972382307,0.964759214,0.296179891,0.382294898,0.994956427,0.942334127,0.999945775,0.936062385,0.946896871,0.858263531,0.976181685,0.940391951,0.797439158,0.747505018
1,1,1,1.1,To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,5,5,5,0.028398752,0.971601248,0.963762565,0.504172325,0.564838685,0.993547302,0.926222854,0.999949599,0.940572044,0.937217672,0.83242898,0.960641388,0.901500586,0.806125045,0.758332093
2,2,2,1.1,A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,5,3,4,0.013918638,0.986081362,0.98223951,0.786471367,0.812597389,0.999015482,0.988743473,0.999982503,0.979368663,0.976815201,0.93811793,0.981896304,0.954693437,0.912328899,0.890716636
3,3,3,1.1,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",5,5,5,0.016510129,0.983489871,0.978932711,0.617771268,0.664538374,0.992065537,0.909281038,0.999987911,0.985745126,0.951294193,0.870000332,0.968883813,0.922128194,0.863870442,0.830312513
4,4,4,1.1,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,3,3,3,0.022429645,0.977570355,0.971379277,0.457669884,0.52402599,0.995158092,0.944639873,0.999979264,0.97554984,0.912757201,0.76714204,0.979667088,0.949114569,0.795169771,0.744676196
5,5,5,1.1,To find problem and errors in a program before it is finalized,2,2,2,0.052239478,0.947760522,0.933341272,0.096652053,0.207180033,0.994498782,0.937101635,0.999930053,0.917524652,0.980484184,0.947910737,0.980848327,0.952070755,0.687546194,0.610521949
6,6,6,1.1,"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. ",3,2,2.5,0.027791083,0.972208917,0.964537964,0.279286951,0.367468872,0.9956336,0.950076614,0.999963253,0.956671111,0.968060446,0.914750793,0.979587957,0.948916535,0.746570349,0.684096358
7,7,7,1.1,you can break the whole program into prototype programs to simulate parts of the final program,5,5,5,0.037214339,0.962785661,0.952513682,0.350325704,0.429815769,0.990592191,0.892435484,0.999973837,0.969151352,0.984019239,0.95734608,0.977624856,0.944003651,0.776617467,0.721550498
8,8,8,1.1,#NAME?,5,2,3.5,0.036029518,0.963970482,0.954025539,0.339949876,0.420709463,0.996323246,0.957961709,0.999985167,0.982509979,0.923819609,0.796668485,0.974882983,0.937141801,0.418235689,0.274822757
9,9,9,1.1,Simulating the behavior of only a portion of the desired software product.,5,5,5,0.011372924,0.988627076,0.985487898,0.868911147,0.884950356,0.998604615,0.984045821,0.999951501,0.942814114,0.977591217,0.940189178,0.968046604,0.920032983,0.94770062,0.934807965
